thread,query_type,latency_us
writer,UPDATE,26.042000000003895
reader,SELECT,57.04199999989612
writer,UPDATE,20.29200000008835
reader,SELECT,29.791000000001233
reader,SELECT,52.999999999858716
writer,UPDATE,42.416000000100595
reader,SELECT,30.208000000087054
reader,SELECT,52.750000000045816
writer,UPDATE,52.83399999989058
reader,SELECT,62.99999999992423
reader,SELECT,29.16699999988559
writer,UPDATE,22.292000000145862
reader,SELECT,45.00000000007276
reader,SELECT,52.625000000139366
writer,UPDATE,44.750000000037815
reader,SELECT,30.12499999988094
reader,SELECT,28.875000000150308
writer,UPDATE,29.749999999939547
reader,SELECT,37.416999999928535
reader,SELECT,51.707999999983656
writer,UPDATE,23.541999999876495
reader,SELECT,32.08300000001607
reader,SELECT,57.458000000121245
writer,UPDATE,45.792000000099975
reader,SELECT,37.58399999997941
reader,SELECT,59.16699999986008
writer,UPDATE,30.58300000002845
reader,SELECT,40.8339999999896
reader,SELECT,55.375000000079666
writer,UPDATE,39.62500000009861
reader,SELECT,62.62499999998283
reader,SELECT,55.707999999876634
writer,UPDATE,32.459000000040206
reader,SELECT,57.584000000110436
reader,SELECT,111.0829999999563
writer,UPDATE,74.70800000008992
reader,SELECT,53.999999999998494
writer,UPDATE,57.79099999991821
reader,SELECT,58.374999999832866
reader,SELECT,46.54100000012207
writer,UPDATE,47.45800000005573
reader,SELECT,61.54099999999829
reader,SELECT,44.91700000008869
writer,UPDATE,34.124999999995964
reader,SELECT,53.41699999994454
reader,SELECT,54.37499999993989
writer,UPDATE,57.167000000024615
reader,SELECT,66.87499999991076
reader,SELECT,50.749999999988304
writer,UPDATE,58.54200000010579
reader,SELECT,50.16700000015639
reader,SELECT,35.66699999990597
writer,UPDATE,35.167000000058124
reader,SELECT,54.75000000010333
reader,SELECT,36.49999999999487
writer,UPDATE,16.666999999914722
reader,SELECT,33.500000000019625
reader,SELECT,31.1669999999431
writer,UPDATE,32.958000000027354
reader,SELECT,37.74999999994755
reader,SELECT,25.95800000015913
writer,UPDATE,25.87499999995302
reader,SELECT,36.665999999963006
reader,SELECT,26.542000000073784
writer,UPDATE,53.58300000013472
reader,SELECT,119.00000000020228
reader,SELECT,77.95800000010011
writer,UPDATE,64.41699999992778
reader,SELECT,124.3339999998927
reader,SELECT,73.12500000011823
writer,UPDATE,54.50000000006838
reader,SELECT,85.20800000000328
reader,SELECT,74.83299999999637
writer,UPDATE,79.66599999997825
reader,SELECT,108.99999999991472
reader,SELECT,73.58399999990439
writer,UPDATE,54.16599999996663
reader,SELECT,85.91700000004643
reader,SELECT,50.95899999996156
writer,UPDATE,44.999999999850715
reader,SELECT,82.25000000017246
reader,SELECT,57.33299999999275
writer,UPDATE,41.208999999930995
reader,SELECT,58.29200000007084
reader,SELECT,45.58299999990467
writer,UPDATE,31.12500000002072
reader,SELECT,53.20799999997128
reader,SELECT,132.5840000001577
writer,UPDATE,123.20799999998577
reader,SELECT,59.54200000002352
writer,UPDATE,170.54199999999577
reader,SELECT,173.20799999986923
reader,SELECT,59.91600000010422
reader,SELECT,219.0419999998916
writer,UPDATE,208.16700000003686
reader,SELECT,84.58300000002694
writer,UPDATE,56.58399999997066
reader,SELECT,66.29200000007884
reader,SELECT,44.374999999874376
writer,UPDATE,103.87499999997551
reader,SELECT,118.74999999994529
reader,SELECT,59.91600000010422
writer,UPDATE,68.24999999999193
reader,SELECT,84.99999999989072
reader,SELECT,71.66699999983095
writer,UPDATE,69.4999999999446
reader,SELECT,67.70799999999966
reader,SELECT,47.833999999857824
reader,SELECT,132.79099999996546
writer,UPDATE,166.45800000003595
reader,SELECT,59.70799999999166
writer,UPDATE,121.70799999999815
reader,SELECT,132.5000000000909
reader,SELECT,61.54200000008103
reader,SELECT,172.9590000001391
writer,UPDATE,356.3339999999027
reader,SELECT,58.95800000010887
reader,SELECT,48.58399999996266
writer,UPDATE,44.6669999998317
reader,SELECT,65.00000000020378
reader,SELECT,167.24999999984112
writer,UPDATE,131.45800000002873
reader,SELECT,64.95800000005936
writer,UPDATE,70.50000000008438
reader,SELECT,60.041999999871365
reader,SELECT,50.20899999985673
writer,UPDATE,58.91699999982514
reader,SELECT,59.16699999986008
reader,SELECT,40.08300000002407
writer,UPDATE,39.792000000149486
reader,SELECT,49.167000000016614
reader,SELECT,42.2919999998328
writer,UPDATE,44.25000000018997
reader,SELECT,59.99999999994898
reader,SELECT,48.124999999954454
writer,UPDATE,41.459000000187984
reader,SELECT,64.49999999991185
reader,SELECT,39.95899999997832
writer,UPDATE,32.58300000008596
reader,SELECT,45.12499999997921
reader,SELECT,69.45800000002222
writer,UPDATE,86.49999999987834
reader,SELECT,93.87500000013205
reader,SELECT,51.41700000010907
writer,UPDATE,51.416999999887025
reader,SELECT,56.3749999999974
reader,SELECT,43.74999999989804
writer,UPDATE,31.208000000004787
reader,SELECT,43.334000000117
reader,SELECT,36.874999999936264
writer,UPDATE,31.917000000047935
reader,SELECT,51.20899999999651
reader,SELECT,39.624999999876565
writer,UPDATE,38.333000000001505
reader,SELECT,55.12500000004472
reader,SELECT,33.83300000003864
writer,UPDATE,23.79199999991144
reader,SELECT,37.834000000014356
reader,SELECT,78.20899999999575
writer,UPDATE,60.29199999990631
reader,SELECT,87.45799999987369
reader,SELECT,77.12500000001121
writer,UPDATE,74.0420000000519
reader,SELECT,114.45899999995568
reader,SELECT,84.74999999985577
writer,UPDATE,89.99999999992347
reader,SELECT,115.91700000002092
reader,SELECT,88.33300000010702
writer,UPDATE,77.20799999999528
reader,SELECT,97.50000000008363
reader,SELECT,166.91599999996143
writer,UPDATE,145.24999999987466
reader,SELECT,116.62499999998133
writer,UPDATE,73.208999999963
reader,SELECT,90.49999999999336
reader,SELECT,75.7090000000904
writer,UPDATE,67.00000000003925
reader,SELECT,97.37499999995514
reader,SELECT,73.62499999996608
writer,UPDATE,61.12499999999521
reader,SELECT,74.54200000012179
reader,SELECT,59.291999999988576
writer,UPDATE,71.79199999995944
reader,SELECT,94.58299999987041
reader,SELECT,72.16700000012288
writer,UPDATE,50.25000000014046
reader,SELECT,86.25000000006544
reader,SELECT,61.95800000008411
writer,UPDATE,74.4169999999933
reader,SELECT,109.79199999994194
reader,SELECT,77.66700000000348
writer,UPDATE,67.16699999986808
reader,SELECT,88.91700000002167
reader,SELECT,58.33300000013253
writer,UPDATE,45.70900000011591
reader,SELECT,70.16700000006537
